f2,f1,lon,cal,e_f2
1.76281987944067,1.95680703696756,1.82242719328388,1.95511467802726,1.92278898631156
1.74902458790027,2.05084844947442,1.74196925709363,2.08476586764111,1.98210800592089
1.70512776451786,2.20967013655585,1.86186207103212,2.08186190295175,2.09076606177389
1.75388115076891,2.11747443426613,1.80877137822148,2.08733838270752,2.03276465736532
1.71071225874842,2.1067285445839,1.89381308164719,2.01214322428121,2.02985334877405
1.71737358924136,2.09726879109224,1.63569741012323,2.00709320401946,1.95933204908179
1.73144046558672,2.00667768448369,1.80744081850567,1.9611796769161,1.94549396609729
1.69444519382758,2.13986228843055,1.74427982317017,2.12206509152092,2.03651737288805
1.69794975646422,1.88308636803516,1.63439120173191,2.02876504974789,1.85733224688753
1.73691936609978,2.15054451622284,1.73026672386337,2.00575546649722,2.00927780570157
1.76770735422124,2.07297820670376,1.84509626569126,2.05888695329508,2.01248490809847
1.71439917831045,1.99817479080741,1.8859477187392,1.9474119441954,1.95742731113736
1.71468521798427,2.01086450738607,1.78407348897668,1.97705310030922,1.94571390101451
1.69930849722739,2.05360734693542,1.83903532126726,2.12775135146921,2.01850034165183
1.68909430852456,2.06756483395435,1.73849896745527,2.09687139800972,1.99262500834342
1.80882676656765,2.11809142244418,1.85177400360613,2.09707277764257,2.04625740653426
1.72048088980687,2.18006547351116,1.81843611520056,2.01361043579802,2.04804437450523
1.7313641515571,2.01365433210641,1.65318096238288,2.10479330243912,1.9463207322587
1.71630227373155,2.05531679567823,1.84377473415154,2.00009528318642,1.9886259021736
1.74344261389215,2.08969043143303,1.65216211039401,1.98984303022285,1.95534650087073
1.79903544836979,2.16988233928795,1.87250886212748,2.02905122511172,2.06033119145378
1.67761854775759,2.20148613782032,1.79715629386952,1.99518090679812,2.04882736907707
1.71625501847916,2.19769865983986,1.82670398603757,1.97625755641917,2.04958971553411
1.72385752265589,2.06456851176072,1.75561982928717,1.97829622397385,1.96576326919561
1.72194271373406,1.97093100817187,1.99270489280882,1.97257142827204,1.97678458435615
1.6768786103681,2.06708702606665,1.94929304263305,1.99536666504204,2.01970843995209
1.79223377530332,2.1216723412391,1.91589275460622,2.05122052562208,2.05261449067663
1.71492986242196,2.09291857703816,1.76003235081585,2.09852956144663,2.0110997665847
1.67061778886144,2.23632682774456,1.92949675174337,2.09379561229742,2.12398650488248
1.70109786663902,2.12306925109262,1.86211700931265,2.08633630765097,2.04864795478721
1.72710012608506,2.09288822195664,1.7447967826744,2.00755323908062,1.98453161641708
1.7010856962033,2.03852775842363,1.69094328311376,1.85843464703362,1.90660836174866
1.70565097042679,2.09835234494125,1.6864377198993,2.03868486544556,1.98045681880684
1.73505037171087,2.1842510699718,1.69266246816729,1.86020824094998,1.98034321226522
1.69474218405504,1.91486197026038,1.74041098889769,2.01565586084173,1.89644769756504
1.77234283808754,2.08566579407789,1.90383740720899,2.06673611457737,2.03547627748553
1.77189601009392,2.11893826770566,1.72226203774492,2.07733870311366,2.00936931906748
1.7349405553813,2.15765884290909,1.8681118730003,2.04170839643749,2.05628448881399
1.75867739262434,2.07779377334668,1.79657344024215,1.93440743425923,1.97164210529869
1.72485114168404,2.0629738281935,1.7378040677813,2.083005457565,1.98668929543333
1.73175669308111,2.05172482661287,1.71037117728824,1.99958054056144,1.95335034276885
1.79330235804505,2.1260043307892,1.7132670092522,2.06392719598561,2.00730071670405
1.78556648974062,2.17273392192109,1.72146403364607,1.90051588169748,1.99186193979643
1.67486187515788,2.02325427911985,2.0248850674119,2.0887629375129,2.04003914079113
1.74588816412442,2.17260870727001,1.75134696552424,1.93525455555572,2.007954733905
1.79036907143497,2.28225526200237,1.8367588921898,2.03991246474124,2.11029547023395
1.72605061561549,1.97897512913246,1.7194923741353,1.93695338268642,1.90359900377166
